title;wikipedia url;human-written synopsis from wikipedia;[story block: character(s)];[story block: setting(s)];[story block: issue(s)];ai-written retelling;
allerleirauh;https://en.wikipedia.org/wiki/allerleirauh;a king promised his dying wife that he would not re-marry unless it was to a woman who was as beautiful as she was, and when he looked for a new wife, he realized that the only woman that could match her beauty was his own daughter.;princess (hero), king (antagonist), another realm's young king (donor);king's castle, forest, ballroom;the daughter's escape from her father's marriage proposal leads her to disguise herself. the young king's discovery of her identity changes their fates.;;
the beam  ;https://en.wikipedia.org/wiki/the_beam_(fairy_tale);a magician shows a rooster carrying a beam. a girl carrying a four-leafed clover realizes and declares that it is just a straw, not a beam. when she marries, the magician enchants her to think she sees a stream and then breaks it after she has hiked up her skirts to cross.;magician (hero), girl (antagonist);unknown;a magician performs a trick, a girl exposes him. the magician later takes his revenge on the girl.;;
bearskin  ;https://en.wikipedia.org/wiki/bearskin_(german_fairy_tale);a man serves as a soldier, but when the war ends, he returns home to learn that both of his parents have died and that his brothers have no place for him.;soldier (hero), devil (antagonist). old man, man's three daughters ;heath, old man's inn, old man's house;a soldier encounters the devil on a heath and strikes a deal for wealth and a cursed appearance. he helps a destitute old man and wins the promise of marriage from his youngest daughter.;;
the blue light  ;https://en.wikipedia.org/wiki/the_blue_light_(fairy_tale);a soldier has been discharged from the king's service because of his wounds. the soldier leaves the castle and, as night falls, he requires somewhere to stay. encountering the home of a witch, he asks her for lodging. the witch agrees on condition that he spade her garden the next day. this takes so long that he must stay another night, and in return she asks him to chop her wood. once again, he must stay another night.;soldier (hero), witch (antagonist), spirit in the blue light (helper), princess, king,;castle, witch's home, well,;a discharged soldier seeks shelter at a witch's home but becomes trapped. the spirit in the blue light helps him escape and steal a princess away.;;
the boots of buffalo leather ;https://en.wikipedia.org/wiki/the_boots_of_buffalo_leather;a soldier, renowned for his braveness, has just been relieved from the army. he owns an old rain coat and boots in buffalo leather. during his voyage he meets a huntsman in the woods;soldier (hero), huntsman, old woman, robbers (antagonists);woods, house (robbers' den), local town,;a renowned soldier, discharged from the army, encounters a huntsman in the woods. they stumble upon a robbers' den. ;;
the brave little tailor ;https://en.wikipedia.org/wiki/the_brave_little_tailor;"a tailor is preparing to eat some jam, but when flies settle on it, he kills seven of them with one blow of his hand. he makes a belt describing the deed, reading ""seven at one blow"". inspired, he sets out into the world to seek his fortune. the tailor meets a giant who assumes that ""seven at one blow"" refers to seven men. the giant challenges the tailor. when the giant squeezes water from a boulder, the tailor squeezes milk, or whey, from cheese. the giant throws a rock far into the air, and it eventually lands. the tailor counters the feat by tossing a bird that flies away into the sky";tailor (hero), giant, king, princess;king's palace, giant's home, forest;a skilled tailor, known for his deed of killing seven flies at once, embarks on a journey to seek his fortune. along the way, he outwits a giant and eventually marries a princess;;
the bright sun brings it to light ;https://en.wikipedia.org/wiki/the_bright_sun_brings_it_to_light;"a tailor's apprentice robs and murders a jew on the road, despite the jew saying he has nothing worth stealing. as the jew dies, he warns, ""the bright sun will bring it to light.""  the man then settles down.  one day, he sees the sunlight reflecting from his coffee and jeers about its bringing ""it"" to light.  his wife bothers him until he tells her what he means. she gossips about it, and he is arrested and executed.";tailor's apprentice, jew, ;road, home of the tailor's apprentice,;a tailor's apprentice robs and murders a jew on the road. the apprentice's carelessness eventually reveals the truth.;;
brother and sister ;https://en.wikipedia.org/wiki/brother_and_sister;"tired of the cruel mistreatment they endure from their stepmother, who is an evil witch, a brother and sister run away from home, wander off into the countryside, and spend the night in the woods. by morning, the boy is thirsty, so the children go looking for a spring of clear water. however, their stepmother has already discovered their escape and has bewitched all the springs in the forest. the boy is about to drink from one, when his sister hears how its rushing sound says, ""whoever drinks from me will become a tiger"" (or lion).";brother, sister, witch stepmother, king;stepmother's house, woods, king's castle,;brother and sister flee from their cruel stepmother, encountering enchanted springs in the woods. the brother accidentally transforms into a deer, leading to their secluded life until discovered by the king, who marries the sister.;;
cinderella ;https://en.wikipedia.org/wiki/cinderella;"a wealthy gentleman's wife falls gravely ill, and as she lies on her deathbed, she calls for her only daughter, and tells her to remain good and kind, as god would protect her. she then dies and is buried. the child visits her mother's grave every day to grieve and a year goes by. the gentleman marries another woman with two older daughters from a previous marriage. they have beautiful faces and fair skin, but their hearts are cruel and wicked. the stepsisters steal the girl's fine clothes and jewels and force her to wear rags. they banish her into the kitchen, and give her the nickname ""aschenputtel"" (""ashfool""). she is forced to do all kinds of hard work from dawn to dusk for the sisters. the cruel sisters do nothing but mock her and make her chores harder by creating messes. however, despite all of it, the girl remains good and kind, and regularly visits her mother's grave to cry and pray to god that she will see her circumstances improve.";cinderella (hero), stepmother (antagonist), stepsisters (antagonist), prince, father;graveyard, king's castle, cinderella's house;cinderella suffers mistreatment from her evil stepmother and stepsisters. with the help of magical aid, she attends a royal festival, captivating the prince with her beauty and grace.;;
the clever little tailor ;https://en.wikipedia.org/wiki/the_clever_little_tailor;a proud princess set a riddle to her wooers and sent them away when they could not answer.  three tailors came.  two were known for their cleverness and skill, and the third for his uselessness.  the princess asked them what two colors were her hairs.  the first said black and white;princess (sought-for person),  tailors 1, tailors 2, tailors 3 (hero), bear;court, bear's den;tailor 3 wants solves an enigma  to marry the princess . he also also to survive a night with a bear, however.;;
the crumbs on the table ;https://en.wikipedia.org/wiki/the_crumbs_on_the_table;a countryman tells his puppies to come into the parlor and take the crumbs.  they say the mistress will beat them, but he persists and persuades them.  the mistress returns just then and beats them, and the countryman only laughs, so they have to run away.;;;;;
the crystal ball  ;https://en.wikipedia.org/wiki/the_crystal_ball_(fairy_tale);a sorceress was afraid of her three sons. she turned the oldest into an eagle and the second into a whale, and each could take his human form for only two hours a day. the youngest son fled before he could suffer the same fate and went off to seek the king's daughter, bewitched and held prisoner in the castle of the golden sun. he saw two giants quarreling over a wishing cap and they asked him to settle the dispute. he put on the cap, forgot he had it on, and wished himself to the castle.;;;;;
death's messengers ;https://en.wikipedia.org/wiki/death%27s_messengers;death comes across a giant and is badly beaten. the young man comes across the beaten-down death and helps him up. the grateful death promises the young man that, though he cannot spare the young man, when the time comes he will send messengers beforehand to warn the young man of his death.;;;;;
